LRID	Ligand_geneid	Ligand_Uniprot	ligand_symbol	Receptor_geneid	Receptor_Uniprot	Receptor_symbol	PMID	Database
LRH6946	7791	Q15942	ZYX	2022	P17813	ENG	15084601	Cellinker;OmniPath
LRH3273	124626	Q6X784	ZPBP2	941	P33681	CD80	32822567	Cellinker;OmniPath
LRH0829	7784	P21754	ZP3	1139	P36544	CHRNA7	22577141	connectomeDB2020;OmniPath
LRH2209	7784	P21754	ZP3	1956	P00533	EGFR	22577141	CellTalkDB;SingleCellSignalR;connectomeDB2020;iTALK;talklr;OmniPath
LRH5823	7784	P21754	ZP3	10461	Q12866	MERTK	7541556	Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH2293	124220	Q96DA0	ZG16B	7097	O60603	TLR2	20802527	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH2294	124220	Q96DA0	ZG16B	7852	P61073	CXCR4	20802527	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH2295	124220	Q96DA0	ZG16B	7100	O60602	TLR5	20802527	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH2296	124220	Q96DA0	ZG16B	7099	O00206	TLR4	20802527	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH4454	124220	Q96DA0	ZG16B	10333	Q9Y2C9	TLR6	20802527	Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH4455	124220	Q96DA0	ZG16B	7097_7852	O60603_P61073	CXCR4_TLR2	20802527	Cellinker;OmniPath
LRH0700	4904	P67809	YBX1	4851	P46531	NOTCH1	30321499	connectomeDB2020;OmniPath
LRH7579	8565	P54577	YARS1	3577	P25024	CXCR1		CellPhoneDB;CellTalkDB;IUPHAR/BPS;SingleCellSignalR;Ramilowski2015;iTALK;scConnect;talklr;OmniPath
LRH2821	6846	Q9UBD3	XCL2	2829	P46094	XCR1	19556286;10699158;22633458;25497737;9632725	CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;IUPHAR/BPS;ICELLNET;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;scConnect;talklr;OmniPath
LRH1934	6375	P47992	XCL1	84059	Q8WXG9	ADGRV1	32103204	CellPhoneDB;CellTalkDB;OmniPath
LRH6550	6375	P47992	XCL1	2829	P46094	XCR1	19556286;24218476;11446740;10699158;22633458;25497737;10518929;9632725	CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;IUPHAR/BPS;HPMR;ICELLNET;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;scConnect;talklr;OmniPath
LRH0741	7484	O14905	WNT9B	8322	Q9ULV1	FZD4	28733458	connectomeDB2020;OmniPath
LRH0750	7484	O14905	WNT9B	11211	Q9ULW2	FZD10	28733458	connectomeDB2020;OmniPath
LRH0751	7484	O14905	WNT9B	8325	Q9H461	FZD8	28733458	connectomeDB2020;OmniPath
LRH0798	7484	O14905	WNT9B	7855	Q13467	FZD5	30978219;28733458;25892522	connectomeDB2020;OmniPath
LRH2317	7484	O14905	WNT9B	4040	O75581	LRP6	20093360	CellTalkDB;OmniPath
LRH4210	7484	O14905	WNT9B	4041	O75197	LRP5	15578921;23209147	Cellinker;OmniPath
LRH4221	7484	O14905	WNT9B	4040_8322	O75581_Q9ULV1	FZD4_LRP6	23209147	CellChatDB;Cellinker;OmniPath
LRH4225	7484	O14905	WNT9B	4040_8325	O75581_Q9H461	FZD8_LRP6	23209147	CellChatDB;Cellinker;OmniPath
LRH4270	7484	O14905	WNT9B	4040_2535	O75581_Q14332	FZD2_LRP6	23209147	CellChatDB;Cellinker;OmniPath
LRH4288	7484	O14905	WNT9B	8323_4040	O60353_O75581	FZD6_LRP6	23209147	CellChatDB;Cellinker;OmniPath
LRH4295	7484	O14905	WNT9B	4040_11211	O75581_Q9ULW2	FZD10_LRP6	23209147	CellChatDB;Cellinker;OmniPath
LRH4298	7484	O14905	WNT9B	4040_7976	O75581_Q9NPG1	FZD3_LRP6	23209147	CellChatDB;Cellinker;OmniPath
LRH4320	7484	O14905	WNT9B	8324_4040	O75084_O75581	FZD7_LRP6	23209147	CellChatDB;Cellinker;OmniPath
LRH4338	7484	O14905	WNT9B	4040_8321	O75581_Q9UP38	FZD1_LRP6	23209147	CellChatDB;Cellinker;OmniPath
