LRID	Ligand_geneid	Ligand_Uniprot	ligand_symbol	Receptor_geneid	Receptor_Uniprot	Receptor_symbol	PMID	Database
LRM1149	77397	Q8BM26	9530003J23Rik	16408	P24063	Itgal	32196115	CellTalkDB;SingleCellSignalR;iTALK;talklr;OmniPath
LRM5370	232345	Q6GQT1	A2m	16971	Q91ZX7	Lrp1	12194978;19026743;1702392;10652313	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM4771	11298	O88816	Aanat	244701	Q8CIQ6	Mtnr1b	12943195	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM4772	11298	O88816	Aanat	17773	Q61184	Mtnr1a	12943195	CellTalkDB;HPMR;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM6302	12931_12931	Q9JM58_Q9JM58	Crlf1_Clcf1	12804_16880_16195	O88507_P42703_Q00560	Cntfr_Lifr_Il6st	21715184	Cellinker
LRM5172	11421	P09470	Ace	12062	P32299	Bdkrb2	10748135;17077303	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM4996	11421	P09470	Ace	11609	P35374	Agtr2	11459796	CellTalkDB;SingleCellSignalR;Ramilowski2015;iTALK;talklr;OmniPath
LRM2741	70008	Q8R0I0	Ace2	100043314	P86176	Tigit	32589946	Cellinker;OmniPath
LRM0058	70008	Q8R0I0	Ace2	74338	Q9D687	Slc6a19	32132184;34189428	CellTalkDB;OmniPath
LRM3094	13349	Q9QUI6	Ackr1	12774	P51682	Ccr5	29637711	Cellinker;OmniPath
LRM3086	12778	P56485	Ackr3	12767	P70658	Cxcr4	25775528;21730065;29637711;19380869;27331810;28862946;29386406	Cellinker;OmniPath
LRM2687	100503991	D3YTS9	Acp4	58188	Q9JME9	Vstm2b	32589946	Cellinker;OmniPath
LRM1081	66713	P61161	Actr2	16835	P35951	Ldlr	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM1064	66713	P61161	Actr2	14725	A2ARV4	Lrp2	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM1471	66713	P61161	Actr2	11555	P18762	Adrb2	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM6303	14729_54368	O08742_O88186	Gp5_Gp9	14723_14724	O35930_P56400	Gp1ba_Gp1bb	19286885	Cellinker
LRM6304	83430_16160	Q9EQ14_P43432	Il23a_Il12b	209590_16161	Q8K4B4_Q60837	Il23r_Il12rb1	12023369	Cellinker
LRM6267	246779_16159	Q8K3I6_P43431	Il27_Il12a	50931_16162	O70394_P97378	Il27ra_Il12rb2	24743305	DLRP;Cellinker
LRM6126	100042150	P56974	Nrg2	13866_13869	P70424_Q61527	Erbb2_Erbb4	9168115;9168114	IUPHAR/BPS;HPMR;Cellinker
LRM6127	100042150	P56974	Nrg2	13866_13867	P70424_Q61526	Erbb2_Erbb3	9168115;9168114	IUPHAR/BPS;HPMR;Cellinker
LRM2903	100317	Q8K135	Kiaa0319l	106347	Q8CBR1	Ildr1	32589946	Cellinker;OmniPath
LRM2713	100317	Q8K135	Kiaa0319l	107448	Q8K1S4	Unc5a	32589946	Cellinker;OmniPath
LRM2890	233186	Q920G3	Siglec5	100317	Q8K135	Kiaa0319l	32589946	Cellinker;OmniPath
LRM2979	11481	P27040	Acvr2b	13386	Q09163	Dlk1	32589946	Cellinker;OmniPath
LRM3268	11482	Q61288	Acvrl1	21812	Q64729	Tgfbr1	18333754;24319055;14580334	Cellinker;OmniPath
LRM2840	100317	Q8K135	Kiaa0319l	319742	Q3V3F6	Mpzl3	32589946	Cellinker;OmniPath
LRM3492	11482	Q61288	Acvrl1	12562	P55284	Cdh5	18337748	Cellinker;OmniPath
LRM3060	11482	Q61288	Acvrl1	11480	P27038	Acvr2a	30761306;8612709;10187774	Cellinker;OmniPath
LRM2100	11486	P03958	Ada	13482	P28843	Dpp4	21738897;11772392;15213224;8568233	CellTalkDB;SingleCellSignalR;OmniPath
LRM1672	11487	O35598	Adam10	208634	Q8VCF5	Tspan10	28687716;23035126	CellTalkDB;Cellinker;OmniPath
LRM1816	11487	O35598	Adam10	17295	P16056	Met	22689693	CellTalkDB;OmniPath
LRM1633	11487	O35598	Adam10	319504	Q810U4	Nrcam	30833305	CellTalkDB;OmniPath
LRM1915	11487	O35598	Adam10	269831	Q8BKT6	Tspan12	19587294	CellTalkDB;OmniPath
LRM3324	11487	O35598	Adam10	232670	Q8R3S2	Tspan33	23035126;23091066;26686862	Cellinker;OmniPath
LRM1721	11487	O35598	Adam10	93695	Q99P91	Gpnmb	26581806	CellTalkDB;OmniPath
LRM1667	11487	O35598	Adam10	83433	Q99NH8	Trem2	28923481	CellTalkDB;OmniPath
LRM1804	11487	O35598	Adam10	74257	Q9D7W4	Tspan17	23035126	CellTalkDB;Cellinker;OmniPath
LRM1803	11487	O35598	Adam10	70423	F7BWT7	Tspan15	23035126;23091066;26686862	CellTalkDB;Cellinker;OmniPath
